#, type: Wavelet, uMax: 37289.47137978341, nMax: 1023, ellMax: 16
#, n, l, m, f
352.0,10.0,2.0,-8.006932501287979e-10
585.0,0.0,0.0,3.7459200047055413e-6
574.0,12.0,0.0,5.641326414724313e-7
862.0,6.0,0.0,2.3228596647854486e-12
317.0,12.0,6.0,1.716434874025654e-7
987.0,2.0,0.0,1.844644090177378e-12
657.0,16.0,14.0,-1.400672011696296e-9
270.0,6.0,6.0,-1.6219398761793055e-7
924.0,12.0,6.0,1.0763282592097554e-11
525.0,4.0,4.0,-1.4579060496520093e-8
267.0,16.0,4.0,1.4879942604893901e-12
417.0,16.0,14.0,1.6054099724693432e-12
1020.0,8.0,4.0,7.547025102012423e-13
3.0,14.0,2.0,8.495763870206167e-9
697.0,14.0,6.0,2.1885681466760626e-11
795.0,4.0,2.0,-5.849323898818123e-11
788.0,14.0,12.0,-8.324907532470997e-11
859.0,10.0,2.0,1.46824025310248e-11
908.0,4.0,2.0,-1.87584767914463e-11
504.0,14.0,2.0,8.34452219919792e-12
942.0,10.0,6.0,1.7132507640458602e-12
35.0,14.0,2.0,1.0106923607614493e-5
838.0,16.0,4.0,4.432614444854762e-12
954.0,6.0,6.0,1.4763613688826688e-11
761.0,8.0,0.0,-1.6917884786151703e-11
650.0,4.0,2.0,3.5615696185925676e-9
486.0,10.0,6.0,-6.023828975522061e-12
71.0,16.0,14.0,1.473012084664245e-9
593.0,10.0,10.0,-4.798790026930899e-8
478.0,10.0,6.0,2.6288483909171405e-11
521.0,16.0,14.0,-5.597581494076658e-12
968.0,10.0,10.0,1.0386973554814946e-12
933.0,10.0,2.0,-7.546160329226151e-12
437.0,6.0,6.0,-2.917493634281324e-11
200.0,14.0,4.0,-1.0959288944929098e-10
833.0,12.0,2.0,-2.3797595695455615e-12
497.0,8.0,0.0,1.650938008544673e-12
771.0,12.0,6.0,2.8018540512705757e-11
970.0,14.0,8.0,5.296269166159779e-13
457.0,16.0,8.0,3.6043006898624023e-12
388.0,12.0,2.0,1.6631212575875155e-11
57.0,14.0,14.0,-2.9696266947467484e-10
356.0,4.0,2.0,2.2847672858880776e-9
60.0,12.0,6.0,-7.696480968863249e-11
